phrog_phrog	annot
phrog_1	integrase
phrog_2	terminase large subunit
phrog_3	transcriptional repressor
phrog_4	transcriptional repressor
phrog_5	tail completion or Neck1 protein
phrog_6	baseplate wedge subunit
phrog_7	endolysin
phrog_8	transcriptional regulator
phrog_9	terminase large subunit
phrog_10	major head protein
phrog_11	baseplate spike
phrog_12	portal protein
phrog_13	Rz-like spanin
phrog_14	minor tail protein
phrog_15	terminase large subunit
phrog_16	DNA helicase
phrog_17	DNA polymerase
phrog_18	minor tail protein
phrog_19	DnaB-like replicative helicase
phrog_20	holin
phrog_21	portal protein
phrog_22	thioredoxin domain
phrog_23	tail sheath
phrog_24	tail length tape measure protein
phrog_25	head closure Hc1
phrog_26	tail completion or Neck1 protein
phrog_27	tail completion or Neck1 protein
phrog_28	tail length tape measure protein
phrog_29	major head protein
phrog_30	minor tail protein
phrog_31	central tail fiber J
phrog_32	tail assembly protein
phrog_33	distal tail protein Dit
phrog_34	RusA-like Holliday junction resolvase
phrog_35	transcriptional repressor
phrog_36	transcriptional regulator
phrog_37	tail terminator
phrog_38	terminase large subunit
phrog_39	tail assembly protein
phrog_40	head-tail adaptor Ad1
phrog_41	major tail protein
phrog_42	minor tail protein
phrog_43	baseplate wedge subunit
phrog_44	single strand DNA binding protein
phrog_45	tail tube
phrog_46	baseplate hub
phrog_47	DNA primase
phrog_48	tail protein
phrog_49	head decoration
phrog_50	DnaC-like helicase loader
phrog_51	terminase small subunit
phrog_52	tail protein
phrog_53	head maturation protease
phrog_54	DksA-like zinc-finger protein
phrog_55	head closure
phrog_56	DNA methyltransferase
phrog_57	terminase small subunit
phrog_58	tail length tape measure protein
phrog_59	HNH endonuclease
phrog_60	NA
phrog_61	2OG-Fe(II) oxygenase
phrog_62	DNA helicase
phrog_63	anti-repressor Ant
phrog_64	portal protein
phrog_65	tail terminator
phrog_66	excisionase and transcriptional regulator
phrog_67	DNA methyltransferase
phrog_68	portal protein
phrog_69	exonuclease
phrog_70	major head protein
phrog_71	head-tail adaptor Ad1
phrog_72	NinB/ Orf homologous recombination mediator
phrog_73	head scaffolding protein
phrog_74	terminase small subunit
phrog_75	head-tail adaptor Ad1
phrog_76	tail protein
phrog_77	SbcC-like subunit of palindrome specific endonuclease
phrog_78	tail terminator
phrog_79	anti-termination protein Q-like
phrog_80	head maturation protease
phrog_81	2OG-Fe(II) oxygenase
phrog_82	head closure Hc1
phrog_83	terminase small subunit
phrog_84	ribonucleoside-diphosphate reductase large subunit
phrog_85	thymidylate synthase
phrog_86	ribonucleoside diphosphate reductase small subunit
phrog_87	metallo-protease
phrog_88	major tail protein
phrog_89	Rz-like spanin
phrog_90	endolysin
phrog_91	nicking at origin of replication
phrog_92	DNA packaging chaperone FI
phrog_93	endonuclease
phrog_94	head maturation protease
phrog_95	integrase
phrog_96	HNH endonuclease
phrog_97	UvsX-like recombinase
phrog_98	NA
phrog_99	HNH endonuclease
phrog_100	SbcD-like subunit of palindrome specific endonuclease
phrog_101	CII-like transcriptional activator
phrog_102	endolysin
phrog_103	tail protein
phrog_104	portal protein
phrog_105	tail fiber assembly
phrog_106	minor tail protein
phrog_107	exonuclease
phrog_108	Lom outer membrane protein
phrog_109	P-like helicase loader
phrog_110	minor tail protein
phrog_111	DNA methyltransferase
phrog_112	Gp2.5-like ssDNA binding protein and ssDNA annealing protein
phrog_113	portal protein
phrog_114	ATP-dependent DNA ligase
phrog_115	minor head protein
phrog_116	DNA methyltransferase
